league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2425,2024-10-05 St Pauli-Mainz 05,2024-10-05,18:30,St Pauli,0–3,Mainz 05,29546,Millerntor-Stadion,Christian Dingert,/en/matches/48a230e5/St-Pauli-Mainz-05-October-5-2024-Bundesliga
GER-Bundesliga,2425,2024-10-05 Union Berlin-Dortmund,2024-10-05,15:30,Union Berlin,2–1,Dortmund,22012,Stadion An der Alten Försterei,Tobias Reichel,/en/matches/5716e53f/Union-Berlin-Dortmund-October-5-2024-Bundesliga
GER-Bundesliga,2425,2024-10-05 Werder Bremen-Freiburg,2024-10-05,15:30,Werder Bremen,0–1,Freiburg,41200,Weserstadion,Tobias Welz,/en/matches/b6ae6f08/Werder-Bremen-Freiburg-October-5-2024-Bundesliga
GER-Bundesliga,2425,2024-10-06 Eintracht Frankfurt-Bayern Munich,2024-10-06,17:30,Eintracht Frankfurt,3–3,Bayern Munich,58000,Deutsche Bank Park,Benjamin Brand,/en/matches/47b6b5b9/Eintracht-Frankfurt-Bayern-Munich-October-6-2024-Bundesliga
GER-Bundesliga,2425,2024-10-06 Heidenheim-RB Leipzig,2024-10-06,15:30,Heidenheim,0–1,RB Leipzig,15000,Voith-Arena,Sascha Stegemann,/en/matches/8f593aee/Heidenheim-RB-Leipzig-October-6-2024-Bundesliga
GER-Bundesliga,2425,2024-10-06 Stuttgart-Hoffenheim,2024-10-06,19:30,Stuttgart,1–1,Hoffenheim,58000,MHPArena,Harm Osmers,/en/matches/122852eb/Stuttgart-Hoffenheim-October-6-2024-Bundesliga
GER-Bundesliga,2425,2024-10-18 Dortmund-St Pauli,2024-10-18,20:30,Dortmund,2–1,St Pauli,81365,Signal Iduna Park,Matthias Jöllenbeck,/en/matches/3a6031d4/Dortmund-St-Pauli-October-18-2024-Bundesliga
GER-Bundesliga,2425,2024-10-19 Bayern Munich-Stuttgart,2024-10-19,18:30,Bayern Munich,4–0,Stuttgart,75000,Allianz Arena,Tobias Stieler,/en/matches/7562a0c2/Bayern-Munich-Stuttgart-October-19-2024-Bundesliga
GER-Bundesliga,2425,2024-10-19 Freiburg-Augsburg,2024-10-19,15:30,Freiburg,3–1,Augsburg,33500,Europa-Park Stadion,Bastian Dankert,/en/matches/19da909f/Freiburg-Augsburg-October-19-2024-Bundesliga
GER-Bundesliga,2425,2024-10-19 Gladbach-Heidenheim,2024-10-19,15:30,Gladbach,3–2,Heidenheim,50000,Stadion im Borussia-Park,Daniel Siebert,/en/matches/e0c0a8fe/Monchengladbach-Heidenheim-October-19-2024-Bundesliga
GER-Bundesliga,2425,2024-10-19 Hoffenheim-Bochum,2024-10-19,15:30,Hoffenheim,3–1,Bochum,19281,PreZero Arena,Sören Storks,/en/matches/70f3717a/Hoffenheim-Bochum-October-19-2024-Bundesliga
GER-Bundesliga,2425,2024-10-19 Leverkusen-Eintracht Frankfurt,2024-10-19,15:30,Leverkusen,2–1,Eintracht Frankfurt,30210,BayArena,Felix Brych,/en/matches/1766e653/Leverkusen-Eintracht-Frankfurt-October-19-2024-Bundesliga
