league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
ITA-Serie A,2324,2023-10-08 Cagliari-Roma,2023-10-08,18:00,Cagliari,1–4,Roma,16307,Unipol Domus,Simone Sozza,/en/matches/604ceaa0/Cagliari-Roma-October-8-2023-Serie-A
ITA-Serie A,2324,2023-10-08 Frosinone-Hellas Verona,2023-10-08,15:00,Frosinone,2–1,Hellas Verona,13034,Stadio Benito Stirpe,Maria Sole Ferrieri Caputi,/en/matches/ea945c75/Frosinone-Hellas-Verona-October-8-2023-Serie-A
ITA-Serie A,2324,2023-10-08 Lazio-Atalanta,2023-10-08,15:00,Lazio,3–2,Atalanta,41000,Stadio Olimpico,Daniele Orsato,/en/matches/c0603b97/Lazio-Atalanta-October-8-2023-Serie-A
ITA-Serie A,2324,2023-10-08 Monza-Salernitana,2023-10-08,12:30,Monza,3–0,Salernitana,12494,U-Power Stadium,Luca Massimi,/en/matches/d0fdea52/Monza-Salernitana-October-8-2023-Serie-A
ITA-Serie A,2324,2023-10-08 Napoli-Fiorentina,2023-10-08,20:45,Napoli,1–3,Fiorentina,45000,Stadio Diego Armando Maradona,Federico La Penna,/en/matches/2cc7a7ed/Napoli-Fiorentina-October-8-2023-Serie-A
ITA-Serie A,2324,2023-10-21 Hellas Verona-Napoli,2023-10-21,15:00,Hellas Verona,1–3,Napoli,20549,Stadio Marc'Antonio Bentegodi,Rosario Abisso,/en/matches/a4d889b8/Hellas-Verona-Napoli-October-21-2023-Serie-A
ITA-Serie A,2324,2023-10-21 Sassuolo-Lazio,2023-10-21,20:45,Sassuolo,0–2,Lazio,15597,Mapei Stadium - Città del Tricolore,Marco Di Bello,/en/matches/b756439f/Sassuolo-Lazio-October-21-2023-Serie-A
ITA-Serie A,2324,2023-10-21 Torino-Inter,2023-10-21,18:00,Torino,0–3,Inter,26193,Stadio Olimpico di Torino,Matteo Marchetti,/en/matches/e8141133/Torino-Internazionale-October-21-2023-Serie-A
ITA-Serie A,2324,2023-10-22 Atalanta-Genoa,2023-10-22,18:00,Atalanta,2–0,Genoa,14848,Gewiss Stadium,Livio Marinelli,/en/matches/045aca2a/Atalanta-Genoa-October-22-2023-Serie-A
ITA-Serie A,2324,2023-10-22 Bologna-Frosinone,2023-10-22,15:00,Bologna,2–1,Frosinone,26729,Stadio Renato Dall'Ara,Daniele Doveri,/en/matches/04811e11/Bologna-Frosinone-October-22-2023-Serie-A
ITA-Serie A,2324,2023-10-22 Milan-Juventus,2023-10-22,20:45,Milan,0–1,Juventus,75676,Stadio Giuseppe Meazza,Maurizio Mariani,/en/matches/bea57463/Milan-Juventus-October-22-2023-Serie-A
ITA-Serie A,2324,2023-10-22 Roma-Monza,2023-10-22,12:30,Roma,1–0,Monza,62022,Stadio Olimpico,Giovanni Ayroldi,/en/matches/87563b45/Roma-Monza-October-22-2023-Serie-A
ITA-Serie A,2324,2023-10-22 Salernitana-Cagliari,2023-10-22,15:00,Salernitana,2–2,Cagliari,17409,Stadio Arechi,Daniele Chiffi,/en/matches/6635e569/Salernitana-Cagliari-October-22-2023-Serie-A
ITA-Serie A,2324,2023-10-23 Fiorentina-Empoli,2023-10-23,20:45,Fiorentina,0–2,Empoli,43147,Stadio Artemio Franchi,Federico Dionisi,/en/matches/e961a763/Fiorentina-Empoli-October-23-2023-Serie-A
ITA-Serie A,2324,2023-10-23 Udinese-Lecce,2023-10-23,18:30,Udinese,1–1,Lecce,20113,Bluenergy Stadium,Paride Tremolada,/en/matches/cd802be7/Udinese-Lecce-October-23-2023-Serie-A
