league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2223,2022-09-11 Toulouse-Reims,2022-09-11,15:00,Toulouse,1–0,Reims,21315,Stadium Municipal,Stéphanie Frappart,/en/matches/9f57e775/Toulouse-Reims-September-11-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-16 Auxerre-Lorient,2022-09-16,21:00,Auxerre,1–3,Lorient,14866,Stade de l'Abbé Deschamps,Ruddy Buquet,/en/matches/49bc23eb/Auxerre-Lorient-September-16-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-17 Lille-Toulouse,2022-09-17,21:00,Lille,2–1,Toulouse,33635,Stade Pierre-Mauroy,Pierre Gaillouste,/en/matches/00795804/Lille-Toulouse-September-17-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-17 Montpellier-Strasbourg,2022-09-17,17:00,Montpellier,2–1,Strasbourg,10780,Stade de la Mosson,Jeremy Stinat,/en/matches/ea79c10f/Montpellier-Strasbourg-September-17-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-18 Brest-Ajaccio,2022-09-18,15:00,Brest,0–1,Ajaccio,11153,Stade Francis-Le Blé,Stéphanie Frappart,/en/matches/1051ac4c/Brest-Ajaccio-September-18-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-18 Clermont Foot-Troyes,2022-09-18,15:00,Clermont Foot,1–3,Troyes,10753,Stade Gabriel Montpied,Jérôme Brisard,/en/matches/4724678c/Clermont-Foot-Troyes-September-18-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-18 Lyon-Paris Saint-Germain,2022-09-18,20:45,Lyon,0–1,Paris Saint-Germain,58230,Groupama Stadium,François Letexier,/en/matches/57d4d43d/Lyon-Paris-Saint-Germain-September-18-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-18 Marseille-Rennes,2022-09-18,15:00,Marseille,1–1,Rennes,62753,Orange Vélodrome,Benoît Bastien,/en/matches/abf90423/Marseille-Rennes-September-18-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-18 Nantes-Lens,2022-09-18,17:05,Nantes,0–0,Lens,28854,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,/en/matches/7f6d507f/Nantes-Lens-September-18-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-18 Nice-Angers,2022-09-18,15:00,Nice,0–1,Angers,18545,Stade de Nice,Bastien Dechepy,/en/matches/58f908b1/Nice-Angers-September-18-2022-Ligue-1
