date,time,home_team,score,away_team,attendance,venue,referee,match_report
2025-11-09,17:30,Stuttgart,3–2,Augsburg,58500,MHPArena,Harm Osmers,https://fbref.com/en/matches/1c06d4ba/Stuttgart-Augsburg-November-9-2025-Bundesliga
2025-11-21,20:30,Mainz 05,1–1,Hoffenheim,28000,Mewa Arena,Sascha Stegemann,https://fbref.com/en/matches/9fc01308/Mainz-05-Hoffenheim-November-21-2025-Bundesliga
2025-11-22,15:30,Augsburg,1–0,Hamburger SV,30660,WWK Arena,Robin Braun,https://fbref.com/en/matches/2ac33c25/Augsburg-Hamburger-SV-November-22-2025-Bundesliga
2025-11-22,15:30,Bayern Munich,6–2,Freiburg,75000,Allianz Arena,Sven Jablonski,https://fbref.com/en/matches/1ed265a3/Bayern-Munich-Freiburg-November-22-2025-Bundesliga
2025-11-22,15:30,Dortmund,3–3,Stuttgart,81365,Signal Iduna Park,Benjamin Brand,https://fbref.com/en/matches/0a591c86/Dortmund-Stuttgart-November-22-2025-Bundesliga
2025-11-22,15:30,Heidenheim,0–3,Gladbach,15000,Voith-Arena,Frank Willenborg,https://fbref.com/en/matches/75601473/Heidenheim-Monchengladbach-November-22-2025-Bundesliga
2025-11-22,18:30,Köln,3–4,Eintracht Frankfurt,50000,RheinEnergieSTADION,Florian Badstübner,https://fbref.com/en/matches/1cdc182e/Koln-Eintracht-Frankfurt-November-22-2025-Bundesliga
2025-11-22,15:30,Wolfsburg,1–3,Leverkusen,25036,Volkswagen Arena,Robert Hartmann,https://fbref.com/en/matches/7da89746/Wolfsburg-Leverkusen-November-22-2025-Bundesliga
2025-11-23,15:30,RB Leipzig,2–0,Werder Bremen,47800,Red Bull Arena,Martin Petersen,https://fbref.com/en/matches/c1e7c407/RB-Leipzig-Werder-Bremen-November-23-2025-Bundesliga
2025-11-23,17:30,St Pauli,0–1,Union Berlin,29546,Millerntor-Stadion,Tobias Stieler,https://fbref.com/en/matches/8819acc2/St-Pauli-Union-Berlin-November-23-2025-Bundesliga
2025-11-28,20:30,Gladbach,0–0,RB Leipzig,50029,Stadion im Borussia-Park,Timo Gerach,https://fbref.com/en/matches/4c313506/Monchengladbach-RB-Leipzig-November-28-2025-Bundesliga
2025-11-29,15:30,Bayern Munich,3–1,St Pauli,75000,Allianz Arena,Felix Zwayer,https://fbref.com/en/matches/8c986b0e/Bayern-Munich-St-Pauli-November-29-2025-Bundesliga
2025-11-29,15:30,Hoffenheim,3–0,Augsburg,20218,PreZero Arena,Christian Dingert,https://fbref.com/en/matches/f44b0b62/Hoffenheim-Augsburg-November-29-2025-Bundesliga
2025-11-29,18:30,Leverkusen,1–2,Dortmund,30210,BayArena,Tobias Welz,https://fbref.com/en/matches/17573d46/Leverkusen-Dortmund-November-29-2025-Bundesliga
2025-11-29,15:30,Union Berlin,1–2,Heidenheim,22012,Stadion An der Alten Försterei,Patrick Ittrich,https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga
2025-11-29,15:30,Werder Bremen,1–1,Köln,41800,Weserstadion,Bastian Dankert,https://fbref.com/en/matches/b71d523d/Werder-Bremen-Koln-November-29-2025-Bundesliga
2025-11-30,17:30,Eintracht Frankfurt,1–1,Wolfsburg,58000,Deutsche Bank Park,Harm Osmers,https://fbref.com/en/matches/a661ffbb/Eintracht-Frankfurt-Wolfsburg-November-30-2025-Bundesliga
2025-11-30,19:30,Freiburg,4–0,Mainz 05,33200,Europa-Park Stadion,Daniel Schlager,https://fbref.com/en/matches/057b3b0a/Freiburg-Mainz-05-November-30-2025-Bundesliga
2025-11-30,15:30,Hamburger SV,2–1,Stuttgart,57000,Volksparkstadion,Sören Storks,https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga
2025-12-05,20:30,Mainz 05,0–1,Gladbach,30500,Mewa Arena,Benjamin Brand,https://fbref.com/en/matches/cb450c68/Mainz-05-Monchengladbach-December-5-2025-Bundesliga
2025-12-06,15:30,Augsburg,2–0,Leverkusen,30000,WWK Arena,Sven Jablonski,https://fbref.com/en/matches/bcb23639/Augsburg-Leverkusen-December-6-2025-Bundesliga
2025-12-06,15:30,Heidenheim,2–1,Freiburg,15000,Voith-Arena,Florian Exner,https://fbref.com/en/matches/685d5d9b/Heidenheim-Freiburg-December-6-2025-Bundesliga
2025-12-06,15:30,Köln,1–1,St Pauli,50000,RheinEnergieSTADION,Tobias Reichel,https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga
2025-12-06,18:30,RB Leipzig,6–0,Eintracht Frankfurt,47012,Red Bull Arena,Daniel Siebert,https://fbref.com/en/matches/680e8885/RB-Leipzig-Eintracht-Frankfurt-December-6-2025-Bundesliga
2025-12-06,15:30,Stuttgart,0–5,Bayern Munich,60000,MHPArena,Tobias Stieler,https://fbref.com/en/matches/951333e9/Stuttgart-Bayern-Munich-December-6-2025-Bundesliga
2025-12-06,15:30,Wolfsburg,3–1,Union Berlin,23045,Volkswagen Arena,Robert Schröder,https://fbref.com/en/matches/21e9e374/Wolfsburg-Union-Berlin-December-6-2025-Bundesliga
2025-12-07,17:30,Dortmund,2–0,Hoffenheim,81365,Signal Iduna Park,Florian Badstübner,https://fbref.com/en/matches/f2dc84bc/Dortmund-Hoffenheim-December-7-2025-Bundesliga
