date,time,home_team,score,away_team,attendance,venue,referee,match_report
19/12,15:00,Spezia,1–1,Empoli,5414,Stadio Alberto Picco,Manuel Volpi,https://fbref.com/en/matches/dd2c9a9e/Spezia-Empoli-December-19-2021-Serie-A
19/12,18:00,Torino,1–0,Hellas Verona,6202,Stadio Olimpico di Torino,Michael Fabbri,https://fbref.com/en/matches/94913299/Torino-Hellas-Verona-December-19-2021-Serie-A
21/12,20:45,Genoa,0–0,Atalanta,6000,Stadio Comunale Luigi Ferraris,Paolo Valeri,https://fbref.com/en/matches/2c2fe99f/Genoa-Atalanta-December-21-2021-Serie-A
21/12,20:45,Juventus,2–0,Cagliari,11197,Allianz Stadium,Federico Dionisi,https://fbref.com/en/matches/8c84bd7d/Juventus-Cagliari-December-21-2021-Serie-A
22/12,20:45,Empoli,2–4,Milan,10596,Stadio Carlo Castellani,Marco Di Bello,https://fbref.com/en/matches/396205f0/Empoli-Milan-December-22-2021-Serie-A
22/12,18:30,Hellas Verona,1–1,Fiorentina,14001,Stadio Marc'Antonio Bentegodi,Daniele Doveri,https://fbref.com/en/matches/efd40d81/Hellas-Verona-Fiorentina-December-22-2021-Serie-A
22/12,18:30,Inter,1–0,Torino,41413,Stadio Giuseppe Meazza,Marco Guida,https://fbref.com/en/matches/716547fc/Internazionale-Torino-December-22-2021-Serie-A
22/12,20:45,Napoli,0–1,Spezia,25000,Stadio Diego Armando Maradona,Luca Massimi,https://fbref.com/en/matches/c573f9e2/Napoli-Spezia-December-22-2021-Serie-A
22/12,18:30,Roma,1–1,Sampdoria,49400,Stadio Olimpico,Piero Giacomelli,https://fbref.com/en/matches/2d4b42c3/Roma-Sampdoria-December-22-2021-Serie-A
22/12,16:30,Sassuolo,0–3,Bologna,4763,Mapei Stadium - Città del Tricolore,Michael Fabbri,https://fbref.com/en/matches/8e398e07/Sassuolo-Bologna-December-22-2021-Serie-A
