date,time,home_team,score,away_team,attendance,venue,referee,match_report
2024-10-05,19:00,Lille,2–1,Toulouse,36947,Decathlon Arena - Stade Pierre-Mauroy,Clément Turpin,https://fbref.com/en/matches/8d700c3d/Lille-Toulouse-October-5-2024-Ligue-1
2024-10-05,21:00,Rennes,1–2,Monaco,26533,Roazhon Park,Thomas Léonard,https://fbref.com/en/matches/f7072ea6/Rennes-Monaco-October-5-2024-Ligue-1
2024-10-05,17:00,Saint-Étienne,3–1,Auxerre,31445,Stade Geoffroy-Guichard,Mathieu Vernice,https://fbref.com/en/matches/752978b2/Saint-Etienne-Auxerre-October-5-2024-Ligue-1
2024-10-06,17:00,Brest,2–0,Le Havre,14572,Stade Francis-Le Blé,Benoît Millot,https://fbref.com/en/matches/efe178e7/Brest-Le-Havre-October-6-2024-Ligue-1
2024-10-06,15:00,Lyon,2–0,Nantes,51888,Groupama Stadium,Marc Bollengier,https://fbref.com/en/matches/1cefcdb4/Lyon-Nantes-October-6-2024-Ligue-1
2024-10-06,20:45,Nice,1–1,Paris Saint-Germain,30247,Allianz Riviera,Jérôme Brisard,https://fbref.com/en/matches/474dd950/Nice-Paris-Saint-Germain-October-6-2024-Ligue-1
2024-10-06,17:00,Reims,4–2,Montpellier,14903,Stade Auguste-Delaune,Benoît Bastien,https://fbref.com/en/matches/843fb71f/Reims-Montpellier-October-6-2024-Ligue-1
2024-10-06,17:00,Strasbourg,2–2,Lens,19968,Stade de la Meinau,Stéphanie Frappart,https://fbref.com/en/matches/219332d8/Strasbourg-Lens-October-6-2024-Ligue-1
2024-10-18,20:45,Monaco,0–0,Lille,7263,Stade Louis II,Eric Wattellier,https://fbref.com/en/matches/18476c11/Monaco-Lille-October-18-2024-Ligue-1
2024-10-19,17:00,Brest,1–1,Rennes,15099,Stade Francis-Le Blé,Bastien Dechepy,https://fbref.com/en/matches/e2a10c83/Brest-Rennes-October-19-2024-Ligue-1
2024-10-19,21:00,Paris Saint-Germain,4–2,Strasbourg,47590,Parc des Princes,Jeremy Stinat,https://fbref.com/en/matches/80a16e3b/Paris-Saint-Germain-Strasbourg-October-19-2024-Ligue-1
2024-10-19,19:00,Saint-Étienne,0–2,Lens,36832,Stade Geoffroy-Guichard,Romain Lissorgue,https://fbref.com/en/matches/0782c73c/Saint-Etienne-Lens-October-19-2024-Ligue-1
2024-10-20,17:00,Auxerre,2–1,Reims,17016,Stade de l'Abbé Deschamps,Florent Batta,https://fbref.com/en/matches/5f02a541/Auxerre-Reims-October-20-2024-Ligue-1
2024-10-20,15:00,Le Havre,0–4,Lyon,22490,Stade Océane,Abdelatif Kherradji,https://fbref.com/en/matches/b12f8ecd/Le-Havre-Lyon-October-20-2024-Ligue-1
2024-10-20,20:45,Montpellier,0–5,Marseille,18000,Stade de la Mosson-Mondial 98,Clément Turpin,https://fbref.com/en/matches/0f332030/Montpellier-Marseille-October-20-2024-Ligue-1
2024-10-20,17:00,Nantes,1–1,Nice,28141,Stade de la Beaujoire - Louis Fonteneau,Gaël Angoula,https://fbref.com/en/matches/706313e8/Nantes-Nice-October-20-2024-Ligue-1
2024-10-20,17:00,Toulouse,1–1,Angers,24107,Stadium de Toulouse,Willy Delajod,https://fbref.com/en/matches/92f559ad/Toulouse-Angers-October-20-2024-Ligue-1
